,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:77:CD,1,LAUREN,1,RP53,-60,DTE Staff,2025-03-01T00:21:10.2433518Z,esp/topic,1479,1368
,70:A7:41:DC:77:CD,1,LAUREN,1,RP54,-69,DTE Staff,2025-03-01T00:30:53.3562362Z,esp/topic,1479,1567
,70:A7:41:DC:77:CD,1,LAUREN,1,RP55,-63,DTE Staff,2025-03-01T00:40:59.8063536Z,esp/topic,1479,1789
,70:A7:41:DC:77:CD,1,LAUREN,1,RP56,-63,DTE Staff,2025-03-01T03:09:51.3995521Z,esp/topic,1479,1948
,70:A7:41:DC:77:CD,1,LAUREN,1,RP58,-65,DTE Staff,2025-03-01T00:50:25.1245721Z,esp/topic,1653,1368
,70:A7:41:DC:77:CD,1,LAUREN,1,RP59,-56,DTE Staff,2025-03-01T00:59:05.4208538Z,esp/topic,1653,1567
,70:A7:41:DC:77:CD,1,LAUREN,1,RP60,-70,DTE Staff,2025-03-01T01:07:41.6238823Z,esp/topic,1653,1789
,70:A7:41:DC:77:CD,1,LAUREN,1,RP61,-71,DTE Staff,2025-03-01T03:20:14.5471095Z,esp/topic,1653,1948
,70:A7:41:DC:77:CD,1,LAUREN,1,RP63,-66,DTE Staff,2025-03-01T03:31:32.1514365Z,esp/topic,1826,1368
,70:A7:41:DC:77:CD,1,LAUREN,1,RP64,-70,DTE Staff,2025-03-01T03:41:42.8721451Z,esp/topic,1826,1567
,70:A7:41:DC:77:CD,1,LAUREN,1,RP66,-83,DTE Staff,2025-03-01T02:20:26.1154556Z,esp/topic,1826,1948
,70:A7:41:DC:77:CD,1,LAUREN,1,RP67,-69,DTE Staff,2025-03-01T02:30:07.2202603Z,esp/topic,1826,2130
,70:A7:41:DC:77:CD,1,LAUREN,1,RP68,-82,DTE Staff,2025-03-01T03:51:24.7171393Z,esp/topic,2000,1368
,70:A7:41:DC:77:CD,1,LAUREN,1,RP69,-69,DTE Staff,2025-03-01T03:59:19.489486Z,esp/topic,2000,1567
,70:A7:41:DC:77:CD,1,LAUREN,1,RP70,-70,DTE Staff,2025-03-01T02:39:12.4272259Z,esp/topic,2000,1789
,70:A7:41:DC:77:CD,1,LAUREN,1,RP71,-74,DTE Staff,2025-03-01T02:49:47.0395542Z,esp/topic,2000,1948
,70:A7:41:DC:77:CD,1,LAUREN,1,RP72,-71,DTE Staff,2025-03-01T03:00:03.5099496Z,esp/topic,2000,2130
,70:A7:41:DC:77:CD,1,LAUREN,1,RP74,-62,DTE Staff,2025-03-01T04:10:38.6399302Z,esp/topic,1720,299
,70:A7:41:DC:77:CD,1,LAUREN,1,RP75,-66,DTE Staff,2025-03-01T01:39:42.8701744Z,esp/topic,1720,469
,70:A7:41:DC:77:CD,1,LAUREN,1,RP76,-62,DTE Staff,2025-03-01T01:29:37.7763187Z,esp/topic,1720,639
,70:A7:41:DC:77:CD,1,LAUREN,1,RP77,-77,DTE Staff,2025-03-01T01:19:18.2548579Z,esp/topic,1720,838
,70:A7:41:DC:77:CD,1,LAUREN,1,RP80,-57,DTE Staff,2025-03-01T04:19:27.3573833Z,esp/topic,2000,469
,70:A7:41:DC:77:CD,1,LAUREN,1,RP81,-61,DTE Staff,2025-03-01T01:58:53.4382509Z,esp/topic,2000,639
,70:A7:41:DC:77:CD,1,LAUREN,1,RP82,-68,DTE Staff,2025-03-01T02:08:36.0999313Z,esp/topic,2000,838
,70:A7:41:DC:77:CD,1,LAUREN,1,RP85,-85,DTE Staff,2025-03-01T04:39:41.0744762Z,esp/topic,2224,469
,70:A7:41:DC:77:CD,1,LAUREN,1,RP88,-82,DTE Staff,2025-03-01T04:50:39.1758442Z,esp/topic,2454,469
,70:A7:41:DC:77:CD,1,LAUREN,1,RP89,-65,DTE Staff,2025-03-01T04:29:29.3745572Z,esp/topic,2224,1393
,70:A7:41:DC:77:CD,1,LAUREN,1,RP90,-62,DTE Staff,2025-03-01T05:00:49.7110718Z,esp/topic,2454,1393
,70:A7:41:DC:77:CD,1,LAUREN,10,RP53,-61,DTE Staff,2025-03-01T00:24:55.6737507Z,esp/topic,1479,1368
,70:A7:41:DC:77:CD,1,LAUREN,10,RP54,-75,DTE Staff,2025-03-01T00:34:02.0699313Z,esp/topic,1479,1567
,70:A7:41:DC:77:CD,1,LAUREN,10,RP55,-63,DTE Staff,2025-03-01T00:44:00.6152993Z,esp/topic,1479,1789
,70:A7:41:DC:77:CD,1,LAUREN,10,RP56,-66,DTE Staff,2025-03-01T03:13:32.4738062Z,esp/topic,1479,1948
,70:A7:41:DC:77:CD,1,LAUREN,10,RP58,-64,DTE Staff,2025-03-01T00:53:40.9130435Z,esp/topic,1653,1368
,70:A7:41:DC:77:CD,1,LAUREN,10,RP59,-63,DTE Staff,2025-03-01T01:02:17.3236312Z,esp/topic,1653,1567
,70:A7:41:DC:77:CD,1,LAUREN,10,RP60,-74,DTE Staff,2025-03-01T01:11:30.1837942Z,esp/topic,1653,1789
,70:A7:41:DC:77:CD,1,LAUREN,10,RP61,-70,DTE Staff,2025-03-01T03:23:44.5371683Z,esp/topic,1653,1948
,70:A7:41:DC:77:CD,1,LAUREN,10,RP63,-66,DTE Staff,2025-03-01T03:35:18.1808615Z,esp/topic,1826,1368
,70:A7:41:DC:77:CD,1,LAUREN,10,RP64,-70,DTE Staff,2025-03-01T03:45:34.3001784Z,esp/topic,1826,1567
,70:A7:41:DC:77:CD,1,LAUREN,10,RP66,-81,DTE Staff,2025-03-01T02:23:47.3996247Z,esp/topic,1826,1948
,70:A7:41:DC:77:CD,1,LAUREN,10,RP67,-73,DTE Staff,2025-03-01T02:33:16.8807372Z,esp/topic,1826,2130
,70:A7:41:DC:77:CD,1,LAUREN,10,RP68,-83,DTE Staff,2025-03-01T03:54:33.6216652Z,esp/topic,2000,1368
