,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:8E:55,11,LAUREN,16,RP102,-94,DTE Staff,2025-03-12T03:48:06.9943363Z,esp/topic,920,299
,70:A7:41:DC:8E:55,11,LAUREN,17,RP102,-92,DTE Staff,2025-03-12T03:48:29.0043162Z,esp/topic,920,299
,72:A7:41:9C:8E:55,11,LAUREN,10,RP102,-91,DTE IoT,2025-03-12T03:45:57.5634491Z,esp/topic,920,299
,72:A7:41:9C:8E:55,11,LAUREN,2,RP102,-93,DTE IoT,2025-03-12T03:42:45.5705159Z,esp/topic,920,299
,72:A7:41:9C:8E:55,11,LAUREN,4,RP102,-94,DTE IoT,2025-03-12T03:43:27.3526695Z,esp/topic,920,299
,70:A7:41:DC:8E:55,11,LAUREN,17,RP107,-85,DTE Staff,2025-03-12T03:37:01.8907605Z,esp/topic,1120,299
,70:A7:41:DC:8E:55,11,LAUREN,2,RP107,-79,DTE Staff,2025-03-12T03:31:32.2727592Z,esp/topic,1120,299
,70:A7:41:DC:8E:55,11,LAUREN,5,RP107,-81,DTE Staff,2025-03-12T03:32:37.302255Z,esp/topic,1120,299
,70:A7:41:DC:8E:55,11,LAUREN,8,RP107,-87,DTE Staff,2025-03-12T03:33:44.0659452Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,1,RP107,-84,DTE IoT,2025-03-12T03:31:09.7286886Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,10,RP107,-86,DTE IoT,2025-03-12T03:34:27.5613039Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,13,RP107,-87,DTE IoT,2025-03-12T03:35:29.4404231Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,14,RP107,-86,DTE IoT,2025-03-12T03:35:52.1602733Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,15,RP107,-88,DTE IoT,2025-03-12T03:36:15.156676Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,16,RP107,-87,DTE IoT,2025-03-12T03:36:38.8519688Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,18,RP107,-84,DTE IoT,2025-03-12T03:37:24.8332635Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,2,RP107,-84,DTE IoT,2025-03-12T03:31:35.0445178Z,esp/topic,1120,299
,72:A7:41:9C:8E:55,11,LAUREN,7,RP107,-84,DTE IoT,2025-03-12T03:33:20.816691Z,esp/topic,1120,299
