,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,72:A7:41:9C:8E:55,11,LAUREN,11,RP100,-91,DTE IoT,2025-03-03T07:26:42.2852899Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,15,RP100,-92,DTE IoT,2025-03-03T07:28:22.8547282Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,16,RP100,-90,DTE IoT,2025-03-03T07:28:48.0412708Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,17,RP100,-90,DTE IoT,2025-03-03T07:29:11.1060343Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,3,RP100,-92,DTE IoT,2025-03-03T07:23:47.9977636Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,8,RP100,-91,DTE IoT,2025-03-03T07:25:38.3899007Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,1,RP100,-91,DTE Staff,2025-03-03T07:23:06.6966658Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,11,RP100,-93,DTE Staff,2025-03-03T07:26:45.3496981Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,12,RP100,-92,DTE Staff,2025-03-03T07:27:07.7778323Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,13,RP100,-94,DTE Staff,2025-03-03T07:27:29.4913209Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,14,RP100,-93,DTE Staff,2025-03-03T07:27:55.7041949Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,15,RP100,-92,DTE Staff,2025-03-03T07:28:19.9532316Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,16,RP100,-89,DTE Staff,2025-03-03T07:28:45.0615297Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,17,RP100,-90,DTE Staff,2025-03-03T07:29:14.2546239Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,18,RP100,-93,DTE Staff,2025-03-03T07:29:37.9018648Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,19,RP100,-93,DTE Staff,2025-03-03T07:30:00.2280918Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,20,RP100,-91,DTE Staff,2025-03-03T07:30:23.0844068Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,4,RP100,-95,DTE Staff,2025-03-03T07:24:10.0152874Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,5,RP100,-93,DTE Staff,2025-03-03T07:24:31.6265413Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,6,RP100,-92,DTE Staff,2025-03-03T07:24:58.2455391Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,8,RP100,-91,DTE Staff,2025-03-03T07:25:35.416576Z,esp/topic,720,838
,70:A7:41:DC:8E:55,11,LAUREN,9,RP100,-92,DTE Staff,2025-03-03T07:26:01.0828897Z,esp/topic,720,838
,72:A7:41:9C:8E:55,11,LAUREN,12,RP103,-87,DTE IoT,2025-03-03T08:06:16.5541283Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,13,RP103,-87,DTE IoT,2025-03-03T08:06:35.7041107Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,15,RP103,-91,DTE IoT,2025-03-03T08:07:23.026973Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,16,RP103,-90,DTE IoT,2025-03-03T08:07:44.5237334Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,18,RP103,-86,DTE IoT,2025-03-03T08:08:28.2528295Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,19,RP103,-89,DTE IoT,2025-03-03T08:08:53.4260143Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,2,RP103,-89,DTE IoT,2025-03-03T08:02:21.3300654Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,4,RP103,-91,DTE IoT,2025-03-03T08:03:10.4919639Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,7,RP103,-88,DTE IoT,2025-03-03T08:04:14.8566587Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,8,RP103,-91,DTE IoT,2025-03-03T08:04:40.2229646Z,esp/topic,920,469
,72:A7:41:9C:8E:55,11,LAUREN,9,RP103,-88,DTE IoT,2025-03-03T08:05:02.0061141Z,esp/topic,920,469
,70:A7:41:DC:8E:55,11,LAUREN,1,RP103,-90,DTE Staff,2025-03-03T08:01:58.5933167Z,esp/topic,920,469
,70:A7:41:DC:8E:55,11,LAUREN,10,RP103,-91,DTE Staff,2025-03-03T08:05:26.6890524Z,esp/topic,920,469
,70:A7:41:DC:8E:55,11,LAUREN,13,RP103,-90,DTE Staff,2025-03-03T08:06:38.7082756Z,esp/topic,920,469
