,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:8E:55,11,LAUREN,1,RP23,-89,DTE Staff,2025-03-11T08:31:08.6496883Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,1,RP25,-95,DTE Staff,2025-03-11T08:19:01.2996308Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,1,RP44,-93,DTE Staff,2025-03-11T06:59:44.2414665Z,esp/topic,1168,1567
,70:A7:41:DC:8E:55,11,LAUREN,1,RP49,-96,DTE Staff,2025-03-11T06:19:48.4191075Z,esp/topic,1341,1567
,70:A7:41:DC:8E:55,11,LAUREN,10,RP23,-89,DTE Staff,2025-03-11T08:34:55.1326969Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,10,RP25,-94,DTE Staff,2025-03-11T08:22:50.0388476Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,10,RP27,-92,DTE Staff,2025-03-11T08:05:26.685457Z,esp/topic,759,1037
,70:A7:41:DC:8E:55,11,LAUREN,10,RP43,-96,DTE Staff,2025-03-11T07:13:57.9602871Z,esp/topic,1168,1368
,70:A7:41:DC:8E:55,11,LAUREN,11,RP21,-96,DTE Staff,2025-03-11T08:51:45.1173769Z,esp/topic,70,1037
,70:A7:41:DC:8E:55,11,LAUREN,11,RP23,-89,DTE Staff,2025-03-11T08:35:23.3917147Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,11,RP25,-93,DTE Staff,2025-03-11T08:23:15.1322629Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,11,RP27,-92,DTE Staff,2025-03-11T08:05:48.4606238Z,esp/topic,759,1037
,70:A7:41:DC:8E:55,11,LAUREN,11,RP44,-94,DTE Staff,2025-03-11T07:03:22.1826651Z,esp/topic,1168,1567
,70:A7:41:DC:8E:55,11,LAUREN,12,RP23,-89,DTE Staff,2025-03-11T08:35:45.8295222Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,12,RP25,-95,DTE Staff,2025-03-11T08:23:43.8106212Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,12,RP27,-91,DTE Staff,2025-03-11T08:06:16.855168Z,esp/topic,759,1037
,70:A7:41:DC:8E:55,11,LAUREN,13,RP23,-88,DTE Staff,2025-03-11T08:36:11.5313777Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,13,RP25,-95,DTE Staff,2025-03-11T08:24:06.1195421Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,13,RP27,-91,DTE Staff,2025-03-11T08:06:41.9426808Z,esp/topic,759,1037
,70:A7:41:DC:8E:55,11,LAUREN,13,RP50,-97,DTE Staff,2025-03-11T06:44:38.2377061Z,esp/topic,1341,1749
,70:A7:41:DC:8E:55,11,LAUREN,14,RP23,-87,DTE Staff,2025-03-11T08:36:36.8335588Z,esp/topic,300,1037
,70:A7:41:DC:8E:55,11,LAUREN,14,RP25,-95,DTE Staff,2025-03-11T08:24:34.6042687Z,esp/topic,529,1037
,70:A7:41:DC:8E:55,11,LAUREN,14,RP27,-92,DTE Staff,2025-03-11T08:07:04.1643275Z,esp/topic,759,1037
,70:A7:41:DC:8E:55,11,LAUREN,14,RP44,-97,DTE Staff,2025-03-11T07:04:32.3644994Z,esp/topic,1168,1567
,70:A7:41:DC:8E:55,11,LAUREN,14,RP50,-97,DTE Staff,2025-03-11T06:44:59.6501704Z,esp/topic,1341,1749
