,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:77:CD,1,LAUREN,1,RP113,-61,DTE Staff,2025-02-25T03:34:57.1790628Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,1,RP113,-64,DTE Staff,2025-02-25T03:44:05.808717Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,10,RP113,-63,DTE Staff,2025-02-25T03:38:31.756777Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,11,RP113,-60,DTE Staff,2025-02-25T03:38:56.4991952Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,12,RP113,-62,DTE Staff,2025-02-25T03:39:15.7619797Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,13,RP113,-63,DTE Staff,2025-02-25T03:39:43.8087004Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,14,RP113,-61,DTE Staff,2025-02-25T03:40:05.519983Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,15,RP113,-68,DTE Staff,2025-02-25T03:40:30.5362227Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,16,RP113,-73,DTE Staff,2025-02-25T03:40:55.3881275Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,17,RP113,-65,DTE Staff,2025-02-25T03:41:20.995725Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,18,RP113,-72,DTE Staff,2025-02-25T03:41:42.4200684Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,19,RP113,-72,DTE Staff,2025-02-25T03:42:04.9491779Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,2,RP113,-66,DTE Staff,2025-02-25T03:35:22.9444679Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,2,RP113,-63,DTE Staff,2025-02-25T03:44:30.4247777Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,20,RP113,-64,DTE Staff,2025-02-25T03:42:31.143923Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,3,RP113,-64,DTE Staff,2025-02-25T03:35:41.3814369Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,3,RP113,-62,DTE Staff,2025-02-25T03:44:55.9680395Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,4,RP113,-63,DTE Staff,2025-02-25T03:36:04.1522843Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,4,RP113,-63,DTE Staff,2025-02-25T03:45:23.6253081Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,5,RP113,-63,DTE Staff,2025-02-25T03:36:27.2752959Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,5,RP113,-63,DTE Staff,2025-02-25T03:45:44.1726811Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,6,RP113,-62,DTE Staff,2025-02-25T03:36:52.4082714Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,6,RP113,-65,DTE Staff,2025-02-25T03:45:58.9512766Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,7,RP113,-61,DTE Staff,2025-02-25T03:37:16.9905056Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,7,RP113,-67,DTE Staff,2025-02-25T03:46:19.9404446Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,8,RP113,-59,DTE Staff,2025-02-25T03:37:44.015325Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,8,RP113,-56,DTE Staff,2025-02-25T03:46:38.6350656Z,esp/topic,1290,469
,70:A7:41:DC:77:CD,1,LAUREN,9,RP113,-62,DTE Staff,2025-02-25T03:38:12.9065879Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,1,RP113,-61,DTE Student,2025-02-25T03:34:53.6991646Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,1,RP113,-63,DTE Student,2025-02-25T03:44:02.7743423Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,10,RP113,-63,DTE Student,2025-02-25T03:38:34.8052261Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,11,RP113,-60,DTE Student,2025-02-25T03:38:59.5067501Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,12,RP113,-62,DTE Student,2025-02-25T03:39:18.7469523Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,13,RP113,-63,DTE Student,2025-02-25T03:39:40.9743796Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,14,RP113,-63,DTE Student,2025-02-25T03:40:08.517393Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,15,RP113,-68,DTE Student,2025-02-25T03:40:27.5456347Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,16,RP113,-73,DTE Student,2025-02-25T03:40:52.2314456Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,17,RP113,-65,DTE Student,2025-02-25T03:41:18.022467Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,18,RP113,-72,DTE Student,2025-02-25T03:41:39.4024217Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,19,RP113,-73,DTE Student,2025-02-25T03:42:07.8975031Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,2,RP113,-66,DTE Student,2025-02-25T03:35:19.5139921Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,2,RP113,-64,DTE Student,2025-02-25T03:44:33.5052716Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,20,RP113,-64,DTE Student,2025-02-25T03:42:28.3917133Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,3,RP113,-64,DTE Student,2025-02-25T03:35:44.7531274Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,3,RP113,-63,DTE Student,2025-02-25T03:44:59.1438078Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,4,RP113,-63,DTE Student,2025-02-25T03:36:01.1835918Z,esp/topic,1290,469
,72:A7:41:9C:77:CD,1,LAUREN,4,RP113,-63,DTE Student,2025-02-25T03:45:19.9645032Z,esp/topic,1290,469
