,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,70:A7:41:DC:8E:55,1,LAUREN,1,RP29,-92,DTE Staff,2024-10-17T10:19:36.0867022Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,10,RP29,-94,DTE Staff,2024-10-17T10:23:26.6782315Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,11,RP29,-94,DTE Staff,2024-10-17T10:23:51.8041404Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,12,RP29,-90,DTE Staff,2024-10-17T10:24:13.6954786Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,13,RP29,-91,DTE Staff,2024-10-17T10:24:38.6661326Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,14,RP29,-92,DTE Staff,2024-10-17T10:25:11.4344986Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,15,RP29,-94,DTE Staff,2024-10-17T10:25:33.7587998Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,16,RP29,-94,DTE Staff,2024-10-17T10:25:58.1303639Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,17,RP29,-92,DTE Staff,2024-10-17T10:26:19.8379872Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,18,RP29,-96,DTE Staff,2024-10-17T10:26:44.7236658Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,19,RP29,-92,DTE Staff,2024-10-17T10:27:06.5338814Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,2,RP29,-90,DTE Staff,2024-10-17T10:20:05.6807662Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,20,RP29,-90,DTE Staff,2024-10-17T10:27:35.3280697Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,3,RP29,-91,DTE Staff,2024-10-17T10:20:30.5451412Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,4,RP29,-91,DTE Staff,2024-10-17T10:20:52.1933848Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,5,RP29,-90,DTE Staff,2024-10-17T10:21:17.3471923Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,6,RP29,-90,DTE Staff,2024-10-17T10:21:41.7174074Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,7,RP29,-89,DTE Staff,2024-10-17T10:22:07.9696836Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,8,RP29,-92,DTE Staff,2024-10-17T10:22:37.4010466Z,esp/topic,989,1037
,70:A7:41:DC:8E:55,1,LAUREN,9,RP29,-90,DTE Staff,2024-10-17T10:23:02.0028752Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,1,RP29,-96,DTE IoT,2024-10-17T10:19:39.1442359Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,10,RP29,-92,DTE IoT,2024-10-17T10:23:23.7103221Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,11,RP29,-93,DTE IoT,2024-10-17T10:23:49.0044487Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,12,RP29,-90,DTE IoT,2024-10-17T10:24:16.729462Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,13,RP29,-92,DTE IoT,2024-10-17T10:24:41.6355086Z,esp/topic,989,1037
,72:A7:41:9C:8E:55,1,LAUREN,14,RP29,-91,DTE IoT,2024-10-17T10:25:08.4656341Z,esp/topic,989,1037
