time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen
2024-10-17T08:38:31.9525624Z,RP1,3,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-64.0,
2024-10-17T08:39:38.6086206Z,RP1,1,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-63.0,
2024-10-17T08:39:45.8326223Z,RP1,1,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-63.0,
2024-10-17T08:40:03.1574484Z,RP1,2,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-64.0,
2024-10-17T08:40:08.1701809Z,RP1,2,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-65.0,
2024-10-17T08:40:27.6315854Z,RP1,3,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:40:32.6797183Z,RP1,3,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:40:52.0574188Z,RP1,4,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-65.0,
2024-10-17T08:40:57.0741617Z,RP1,4,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-65.0,
2024-10-17T08:41:16.5902086Z,RP1,5,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-63.0,
2024-10-17T08:41:21.5954149Z,RP1,5,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-64.0,
2024-10-17T08:41:41.0455722Z,RP1,6,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-64.0,
2024-10-17T08:41:46.0157948Z,RP1,6,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-64.0,
2024-10-17T08:42:05.5300787Z,RP1,7,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-63.0,
2024-10-17T08:42:10.5366035Z,RP1,7,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-64.0,
2024-10-17T08:42:30.001785Z,RP1,8,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:42:34.9596639Z,RP1,8,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-63.0,
2024-10-17T08:42:55.723206Z,RP1,9,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:43:00.7292784Z,RP1,9,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:43:20.1352543Z,RP1,10,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-61.0,
2024-10-17T08:43:25.1347964Z,RP1,10,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-61.0,
2024-10-17T08:43:44.6535322Z,RP1,11,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:43:49.6650949Z,RP1,11,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:44:12.0465643Z,RP1,12,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:44:17.0990385Z,RP1,12,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:44:36.5842265Z,RP1,13,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:44:41.5959991Z,RP1,13,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:45:01.0006644Z,RP1,14,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-61.0,
2024-10-17T08:45:06.0138868Z,RP1,14,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-61.0,
2024-10-17T08:45:25.7860746Z,RP1,15,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-60.0,
2024-10-17T08:45:30.8037574Z,RP1,15,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-60.0,
2024-10-17T08:45:50.2808449Z,RP1,16,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-61.0,
2024-10-17T08:45:55.3027057Z,RP1,16,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:46:15.3829988Z,RP1,17,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-62.0,
2024-10-17T08:46:20.4012361Z,RP1,17,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-62.0,
2024-10-17T08:46:39.8171175Z,RP1,18,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-63.0,
2024-10-17T08:46:44.8266134Z,RP1,18,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-63.0,
2024-10-17T08:47:04.2933192Z,RP1,19,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-63.0,
2024-10-17T08:47:09.3638634Z,RP1,19,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-64.0,
2024-10-17T08:47:28.7117725Z,RP1,20,DTE Student,72:a7:41:9c:77:cd,11,300,1368,-63.0,
2024-10-17T08:47:33.7145949Z,RP1,20,DTE Staff,70:a7:41:dc:77:cd,11,300,1368,-64.0,
2024-10-17T08:52:51.4547494Z,RP2,1,DTE Student,72:a7:41:9c:77:cd,11,300,1567,-61.0,
2024-10-17T08:52:56.7081521Z,RP2,1,DTE Staff,70:a7:41:dc:77:cd,11,300,1567,-62.0,
2024-10-17T08:53:16.4381355Z,RP2,2,DTE Student,72:a7:41:9c:77:cd,11,300,1567,-61.0,
2024-10-17T08:53:21.569064Z,RP2,2,DTE Staff,70:a7:41:dc:77:cd,11,300,1567,-61.0,
2024-10-17T08:53:41.2322366Z,RP2,3,DTE Staff,70:a7:41:dc:77:cd,11,300,1567,-61.0,
2024-10-17T08:53:46.1462744Z,RP2,3,DTE Student,72:a7:41:9c:77:cd,11,300,1567,-61.0,
2024-10-17T08:54:05.7996262Z,RP2,4,DTE Staff,70:a7:41:dc:77:cd,11,300,1567,-62.0,
